image name,AP,AP50,AP75,APsmall,APmedium,APlarge,AR1,AR10,AR100,ARsmall,ARmedium,ARlarge
ROW_13483_1.jpg.txt,0.8,1.0,1.0,-1,-1,0.8,0.8,0.8,0.8,-1,-1,0.8
0.txt,0.05,0.5,0.0,-1,0.05,-1,0.0,0.1,0.1,-1,0.1,-1
1.txt,0.6504950495049504,1.0,1.0,-1,0.6504950495049504,-1,0.35,0.65,0.65,-1,0.65,-1
10.txt,0.5514851485148516,0.8349834983498351,0.8349834983498351,-1,0.6,0.9,0.3,0.75,0.75,-1,0.6,0.9
100.txt,0.8,1.0,1.0,-1,0.8,-1,0.8,0.8,0.8,-1,0.8,-1
101.txt,0.7,1.0,1.0,-1,0.7,-1,0.7,0.7,0.7,-1,0.7,-1
102.txt,0.8,1.0,1.0,-1,0.8,-1,0.8,0.8,0.8,-1,0.8,-1
103.txt,0.3504950495049505,1.0,0.0,-1,0.3504950495049505,-1,0.15,0.4,0.4,-1,0.4,-1
104.txt,0.6,1.0,1.0,-1,0.6,-1,0.6,0.6,0.6,-1,0.6,-1
105.txt,0.9,1.0,1.0,-1,-1,0.9,0.9,0.9,0.9,-1,-1,0.9
106.txt,0.7,1.0,1.0,-1,-1,0.7,0.7,0.7,0.7,-1,-1,0.7
107.txt,0.7252475247524752,1.0,1.0,-1,-1,0.7252475247524752,0.35,0.75,0.75,-1,-1,0.75
108.txt,0.4504950495049506,0.6666666666666669,0.6666666666666669,-1,-1,0.700990099009901,0.0,0.7,0.7,-1,-1,0.7
109.txt,0.9,1.0,1.0,-1,0.9,-1,0.9,0.9,0.9,-1,0.9,-1
11.txt,0.9,1.0,1.0,-1,-1,0.9,0.9,0.9,0.9,-1,-1,0.9
110.txt,0.600990099009901,1.0,0.504950495049505,-1,0.600990099009901,-1,0.35,0.6,0.6,-1,0.6,-1
111.txt,0.9,1.0,1.0,-1,0.9,-1,0.9,0.9,0.9,-1,0.9,-1
112.txt,0.7,1.0,1.0,-1,0.7,-1,0.7,0.7,0.7,-1,0.7,-1
113.txt,0.7504950495049505,1.0,1.0,-1,0.7504950495049505,-1,0.4,0.75,0.75,-1,0.75,-1
114.txt,0.9,1.0,1.0,-1,0.9,-1,0.9,0.9,0.9,-1,0.9,-1
115.txt,0.8,1.0,1.0,-1,0.8,-1,0.8,0.8,0.8,-1,0.8,-1
ROW_13492_15.jpg.txt,0.8009900990099009,1.0,1.0,-1,0.7,0.9,0.45,0.8,0.8,-1,0.7,0.9
ROW_13539_11.jpg.txt,0.601980198019802,1.0,0.504950495049505,-1,0.601980198019802,-1,0.4,0.6,0.6,-1,0.6,-1
